COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED,date
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/1 4:25,46912,15.28691587,0.000877,97.3665,84.6144,45.8465,314.3495,0,999,4181,0.0010351,0.00028914,0,3728759,0 SPACEBEE-134,1 52180U 22033Z   23001.18422508  .00028914  00000-0  10351-2 0  9998,2 52180  97.3665  84.6144 0008770  45.8465 314.3495 15.28691587 41810,2022-033Z,52180,6857.86,94.198,485.739,473.71,1,2023/1/1
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/1 16:59,932224,15.28717449,0.00087,97.3663,85.1323,44.3214,315.8721,0,999,4189,0.00089577,0.00025018,0,3728952,0 SPACEBEE-134,1 52180U 22033Z   23001.70788116  .00025018  00000-0  89577-3 0  9995,2 52180  97.3663  85.1323 0008700  44.3214 315.8721 15.28717449 41894,2022-033Z,52180,6857.782,94.197,485.614,473.681,1,2023/1/2
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/1 23:16,580256,15.28730964,0.0008727,97.3663,85.3916,43.3841,316.8084,0,999,4191,0.00094498,0.00026413,0,3729100,0 SPACEBEE-134,1 52180U 22033Z   23001.96970579  .00026413  00000-0  94498-3 0  9997,2 52180  97.3663  85.3916 0008727  43.3841 316.8084 15.28730964 41911,2022-033Z,52180,6857.742,94.196,485.592,473.622,1,2023/1/3
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/2 11:50,217088,15.28760406,0.0008695,97.3662,85.9096,41.7496,318.4406,0,999,4201,0.0009815,0.00027465,0,3729583,0 SPACEBEE-134,1 52180U 22033Z   23002.49334742  .00027465  00000-0  98150-3 0  9999,2 52180  97.3662  85.9096 0008695  41.7496 318.4406 15.28760406 42019,2022-033Z,52180,6857.654,94.194,485.482,473.556,1,2023/1/4
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/3 5:07,677088,15.28793299,0.0008693,97.3665,86.6225,39.3579,320.8292,0,999,4210,0.00089925,0.00025175,0,3730333,0 SPACEBEE-134,1 52180U 22033Z   23003.21334117  .00025175  00000-0  89925-3 0  9992,2 52180  97.3665  86.6225 0008693  39.3579 320.8292 15.28793299 42103,2022-033Z,52180,6857.555,94.192,485.382,473.459,1,2023/1/5
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/3 5:07,677088,15.28793299,0.0008693,97.3665,86.6225,39.3579,320.8292,0,999,4212,0.00089925,0.00025175,0,3730926,0 SPACEBEE-134,1 52180U 22033Z   23003.21334117  .00025175  00000-0  89925-3 0  9992,2 52180  97.3665  86.6225 0008693  39.3579 320.8292 15.28793299 42125,2022-033Z,52180,6857.555,94.192,485.382,473.459,1,2023/1/6
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/4 10:57,637952,15.28856481,0.0008581,97.3665,87.853,35.0498,325.1306,0,999,4231,0.0010778,0.00030266,0,3731823,0 SPACEBEE-134,1 52180U 22033Z   23004.45692868  .00030266  00000-0  10778-2 0  9995,2 52180  97.3665  87.8530 0008581  35.0498 325.1306 15.28856481 42314,2022-033Z,52180,6857.367,94.188,485.116,473.347,1,2023/1/7
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/4 10:57,637952,15.28856481,0.0008581,97.3665,87.853,35.0498,325.1306,0,999,4229,0.0010778,0.00030266,0,3731832,0 SPACEBEE-134,1 52180U 22033Z   23004.45692868  .00030266  00000-0  10778-2 0  9995,2 52180  97.3665  87.8530 0008581  35.0498 325.1306 15.28856481 42291,2022-033Z,52180,6857.367,94.188,485.116,473.347,1,2023/1/8
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/5 4:14,728704,15.28904036,0.0008579,97.3665,88.5658,32.5097,327.667,0,999,4242,0.0010704,0.000301,0,3732939,0 SPACEBEE-134,1 52180U 22033Z   23005.17687186  .00030100  00000-0  10704-2 0  9998,2 52180  97.3665  88.5658 0008579  32.5097 327.6670 15.28904036 42420,2022-033Z,52180,6857.224,94.185,484.972,473.207,1,2023/1/9
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/5 16:48,151296,15.28939736,0.0008524,97.3665,89.0838,31.0895,329.0848,0,999,4248,0.0011369,0.00032018,0,3733603,0 SPACEBEE-134,1 52180U 22033Z   23005.70045314  .00032018  00000-0  11369-2 0  9996,2 52180  97.3665  89.0838 0008524  31.0895 329.0848 15.28939736 42480,2022-033Z,52180,6857.118,94.183,484.828,473.138,1,2023/1/10
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/6 16:22,516704,15.29001579,0.0008468,97.366,90.0554,27.8694,332.2999,0,999,4265,0.00092693,0.00026119,0,3734255,0 SPACEBEE-134,1 52180U 22033Z   23006.68213561  .00026119  00000-0  92693-3 0  9990,2 52180  97.3660  90.0554 0008468  27.8694 332.2999 15.29001579 42657,2022-033Z,52180,6856.933,94.179,484.604,472.991,1,2023/1/11
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/7 0:13,230528,15.29021287,0.0008451,97.3658,90.3797,26.7376,333.4298,0,999,4268,0.0010033,0.00028303,0,3734729,0 SPACEBEE-134,1 52180U 22033Z   23007.00935452  .00028303  00000-0  10033-2 0  9991,2 52180  97.3658  90.3797 0008451  26.7376 333.4298 15.29021287 42689,2022-033Z,52180,6856.874,94.178,484.533,472.944,1,2023/1/12
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/7 4:56,73408,15.29035129,0.0008423,97.3658,90.5739,26.0366,334.1296,0,999,4273,0.0010676,0.00030141,0,3735161,0 SPACEBEE-134,1 52180U 22033Z   23007.20568372  .00030141  00000-0  10676-2 0  9992,2 52180  97.3658  90.5739 0008423  26.0366 334.1296 15.29035129 42730,2022-033Z,52180,6856.832,94.177,484.473,472.922,1,2023/1/13
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/7 11:13,21280,15.29049768,0.0008433,97.3655,90.8332,25.1442,335.0207,0,999,4277,0.0010515,0.00029697,0,3735488,0 SPACEBEE-134,1 52180U 22033Z   23007.46745395  .00029697  00000-0  10515-2 0  9998,2 52180  97.3655  90.8332 0008433  25.1442 335.0207 15.29049768 42775,2022-033Z,52180,6856.789,94.176,484.436,472.871,1,2023/1/14
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/8 10:46,573696,15.29106203,0.0008386,97.3655,91.8046,21.2225,338.9362,0,999,4290,0.0010399,0.00029418,0,3736227,0 SPACEBEE-134,1 52180U 22033Z   23008.44906914  .00029418  00000-0  10399-2 0  9994,2 52180  97.3655  91.8046 0008386  21.2225 338.9362 15.29106203 42908,2022-033Z,52180,6856.62,94.173,484.235,472.735,1,2023/1/15
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/8 10:46,573696,15.29106203,0.0008386,97.3655,91.8046,21.2225,338.9362,0,999,4292,0.0010399,0.00029418,0,3736235,0 SPACEBEE-134,1 52180U 22033Z   23008.44906914  .00029418  00000-0  10399-2 0  9994,2 52180  97.3655  91.8046 0008386  21.2225 338.9362 15.29106203 42920,2022-033Z,52180,6856.62,94.173,484.235,472.735,1,2023/1/16
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/8 15:29,496416,15.29118863,0.000838,97.3655,91.999,20.5237,339.6338,0,999,4295,0.0010471,0.00029635,0,3736460,0 SPACEBEE-134,1 52180U 22033Z   23008.64538769  .00029635  00000-0  10471-2 0  9997,2 52180  97.3655  91.9990 0008380  20.5237 339.6338 15.29118863 42957,2022-033Z,52180,6856.582,94.172,484.193,472.701,1,2023/1/17
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/9 4:03,578112,15.29154402,0.0008342,97.365,92.5171,19.2276,340.9278,0,999,4303,0.0011688,0.00033139,0,3737263,0 SPACEBEE-134,1 52180U 22033Z   23009.16889558  .00033139  00000-0  11688-2 0  9995,2 52180  97.3650  92.5171 0008342  19.2276 340.9278 15.29154402 43033,2022-033Z,52180,6856.476,94.17,484.06,472.621,1,2023/1/18
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/9 4:03,578112,15.29154402,0.0008342,97.365,92.5171,19.2276,340.9278,0,999,4301,0.0011688,0.00033139,0,3737643,0 SPACEBEE-134,1 52180U 22033Z   23009.16889558  .00033139  00000-0  11688-2 0  9995,2 52180  97.3650  92.5171 0008342  19.2276 340.9278 15.29154402 43011,2022-033Z,52180,6856.476,94.17,484.06,472.621,1,2023/1/19
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/10 5:10,873024,15.29217393,0.0008306,97.3646,93.5538,15.34,344.809,0,999,4317,0.0010708,0.00030401,0,3738533,0 SPACEBEE-134,1 52180U 22033Z   23010.21587816  .00030401  00000-0  10708-2 0  9996,2 52180  97.3646  93.5538 0008306  15.3400 344.8090 15.29217393 43171,2022-033Z,52180,6856.288,94.166,483.847,472.458,1,2023/1/20
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/10 11:27,94976,15.29233438,0.0008254,97.3645,93.8127,14.4313,345.7162,0,999,4323,0.0010704,0.00030404,0,3739038,0 SPACEBEE-134,1 52180U 22033Z   23010.47761684  .00030404  00000-0  10704-2 0  9990,2 52180  97.3645  93.8127 0008254  14.4313 345.7162 15.29233438 43237,2022-033Z,52180,6856.24,94.165,483.764,472.445,1,2023/1/21
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/11 11:01,93632,15.29302604,0.0008206,97.3641,94.7845,10.922,349.2197,0,999,4336,0.0012579,0.00035845,0,3740029,0 SPACEBEE-134,1 52180U 22033Z   23011.45910988  .00035845  00000-0  12579-2 0  9998,2 52180  97.3641  94.7845 0008206  10.9220 349.2197 15.29302604 43368,2022-033Z,52180,6856.033,94.161,483.524,472.272,1,2023/1/22
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/11 11:01,93632,15.29302604,0.0008206,97.3641,94.7845,10.922,349.2197,0,999,4338,0.0012579,0.00035845,0,3740054,0 SPACEBEE-134,1 52180U 22033Z   23011.45910988  .00035845  00000-0  12579-2 0  9998,2 52180  97.3641  94.7845 0008206  10.9220 349.2197 15.29302604 43380,2022-033Z,52180,6856.033,94.161,483.524,472.272,1,2023/1/23
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52180,SPACEBEE-134,PAYLOAD,U,22033Z,2023/1/12 4:17,912512,15.29359483,0.0008187,97.364,95.497,8.1923,351.9449,0,999,4349,0.0013497,0.00038547,0,3742227,0 SPACEBEE-134,1 52180U 22033Z   23012.17884158  .00038547  00000-0  13497-2 0  9999,2 52180  97.3640  95.4970 0008187   8.1923 351.9449 15.29359483 43492,2022-033Z,52180,6855.863,94.157,483.341,472.115,1,2023/1/24
