COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED,date
GENERATED VIA SPACETRACK.ORG API,18 SPCS,46300,SPACEBEE-21,PAYLOAD,U,20061AE,2023/1/1 3:57,552928,15.28946901,0.0000563,97.4306,76.4669,132.7365,227.3923,0,999,12862,0.0015756,0.00044439,0,3728759,0 SPACEBEE-21,1 46300U 20061AE  23001.16506427  .00044439  00000-0  15756-2 0  9999,2 46300  97.4306  76.4669 0000563 132.7365 227.3923 15.28946901128625,2020-061AE,46300,6857.096,94.182,479.347,478.575,1,2023/1/1
GENERATED VIA SPACETRACK.ORG API,18 SPCS,46300,SPACEBEE-21,PAYLOAD,U,20061AE,2023/1/2 0:22,359648,15.29021494,0.0000628,97.4305,77.3164,129.4918,230.6377,0,999,12875,0.0015431,0.00043616,0,3729064,0 SPACEBEE-21,1 46300U 20061AE  23002.01584907  .00043616  00000-0  15431-2 0  9999,2 46300  97.4305  77.3164 0000628 129.4918 230.6377 15.29021494128759,2020-061AE,46300,6856.873,94.178,479.169,478.308,1,2023/1/2
GENERATED VIA SPACETRACK.ORG API,18 SPCS,46300,SPACEBEE-21,PAYLOAD,U,20061AE,2023/1/2 3:31,893632,15.29037877,0.0000625,97.4304,77.4472,127.6531,232.4766,0,999,12877,0.001689,0.00047797,0,3729583,0 SPACEBEE-21,1 46300U 20061AE  23002.14673488  .00047797  00000-0  16890-2 0  9990,2 46300  97.4304  77.4472 0000625 127.6531 232.4766 15.29037877128775,2020-061AE,46300,6856.824,94.177,479.118,478.261,1,2023/1/3
GENERATED VIA SPACETRACK.ORG API,18 SPCS,46300,SPACEBEE-21,PAYLOAD,U,20061AE,2023/1/2 19:13,560448,15.29085736,0.0000699,97.4306,78.1008,125.5341,234.5965,0,999,12887,0.0013295,0.00037612,0,3729873,0 SPACEBEE-21,1 46300U 20061AE  23002.80115232  .00037612  00000-0  13295-2 0  9992,2 46300  97.4306  78.1008 0000699 125.5341 234.5965 15.29085736128879,2020-061AE,46300,6856.681,94.174,479.025,478.067,1,2023/1/4
GENERATED VIA SPACETRACK.ORG API,18 SPCS,46300,SPACEBEE-21,PAYLOAD,U,20061AE,2023/1/3 10:55,297952,15.29139976,0.0000743,97.4304,78.7544,123.8599,236.2712,0,999,12897,0.0014419,0.00040884,0,3730618,0 SPACEBEE-21,1 46300U 20061AE  23003.45554743  .00040884  00000-0  14419-2 0  9992,2 46300  97.4304  78.7544 0000743 123.8599 236.2712 15.29139976128970,2020-061AE,46300,6856.519,94.171,478.893,477.874,1,2023/1/5
GENERATED VIA SPACETRACK.ORG API,18 SPCS,46300,SPACEBEE-21,PAYLOAD,U,20061AE,2023/1/3 10:55,297952,15.29139976,0.0000743,97.4304,78.7544,123.8599,236.2712,0,999,12897,0.0014419,0.00040884,0,3730926,0 SPACEBEE-21,1 46300U 20061AE  23003.45554743  .00040884  00000-0  14419-2 0  9992,2 46300  97.4304  78.7544 0000743 123.8599 236.2712 15.29139976128970,2020-061AE,46300,6856.519,94.171,478.893,477.874,1,2023/1/6
GENERATED VIA SPACETRACK.ORG API,18 SPCS,46300,SPACEBEE-21,PAYLOAD,U,20061AE,2023/1/4 10:29,276704,15.29225931,0.0000691,97.4303,79.7348,127.0723,233.058,0,999,12912,0.0017658,0.00050279,0,3731823,0 SPACEBEE-21,1 46300U 20061AE  23004.43709811  .00050279  00000-0  17658-2 0  9996,2 46300  97.4303  79.7348 0000691 127.0723 233.0580 15.29225931129122,2020-061AE,46300,6856.262,94.165,478.601,477.653,1,2023/1/7
GENERATED VIA SPACETRACK.ORG API,18 SPCS,46300,SPACEBEE-21,PAYLOAD,U,20061AE,2023/1/4 18:20,627328,15.2926433,0.0000661,97.43,80.0614,128.3762,231.7538,0,999,12917,0.0018617,0.00053096,0,3732608,0 SPACEBEE-21,1 46300U 20061AE  23004.76426652  .00053096  00000-0  18617-2 0  9997,2 46300  97.4300  80.0614 0000661 128.3762 231.7538 15.29264330129173,2020-061AE,46300,6856.147,94.163,478.465,477.559,1,2023/1/8
GENERATED VIA SPACETRACK.ORG API,18 SPCS,46300,SPACEBEE-21,PAYLOAD,U,20061AE,2023/1/5 2:11,299712,15.29299129,0.000065,97.43,80.3882,127.1322,232.9978,0,999,12922,0.0017436,0.00049754,0,3732939,0 SPACEBEE-21,1 46300U 20061AE  23005.09142708  .00049754  00000-0  17436-2 0  9995,2 46300  97.4300  80.3882 0000650 127.1322 232.9978 15.29299129129221,2020-061AE,46300,6856.043,94.161,478.354,477.463,1,2023/1/9
GENERATED VIA SPACETRACK.ORG API,18 SPCS,46300,SPACEBEE-21,PAYLOAD,U,20061AE,2023/1/5 3:45,567488,15.2930815,0.000065,97.4299,80.4536,127.0423,233.0877,0,999,12923,0.0018157,0.00051843,0,3732963,0 SPACEBEE-21,1 46300U 20061AE  23005.15685842  .00051843  00000-0  18157-2 0  9996,2 46300  97.4299  80.4536 0000650 127.0423 233.0877 15.29308150129232,2020-061AE,46300,6856.016,94.16,478.327,477.436,1,2023/1/10
GENERATED VIA SPACETRACK.ORG API,18 SPCS,46300,SPACEBEE-21,PAYLOAD,U,20061AE,2023/1/6 11:10,49536,15.29456555,0.0000737,97.4299,81.7609,117.637,242.4945,0,999,12943,0.0018303,0.00052504,0,3733970,0 SPACEBEE-21,1 46300U 20061AE  23006.46541724  .00052504  00000-0  18303-2 0  9999,2 46300  97.4299  81.7609 0000737 117.6370 242.4945 15.29456555129434,2020-061AE,46300,6855.573,94.151,477.943,476.933,1,2023/1/11
GENERATED VIA SPACETRACK.ORG API,18 SPCS,46300,SPACEBEE-21,PAYLOAD,U,20061AE,2023/1/6 11:10,49536,15.29456555,0.0000737,97.4299,81.7609,117.637,242.4945,0,999,12943,0.0018303,0.00052504,0,3734255,0 SPACEBEE-21,1 46300U 20061AE  23006.46541724  .00052504  00000-0  18303-2 0  9999,2 46300  97.4299  81.7609 0000737 117.6370 242.4945 15.29456555129434,2020-061AE,46300,6855.573,94.151,477.943,476.933,1,2023/1/12
GENERATED VIA SPACETRACK.ORG API,18 SPCS,46300,SPACEBEE-21,PAYLOAD,U,20061AE,2023/1/7 15:25,730144,15.29578616,0.0000591,97.4291,82.9369,117.7186,242.4114,0,999,12961,0.0018629,0.00053649,0,3735389,0 SPACEBEE-21,1 46300U 20061AE  23007.64301771  .00053649  00000-0  18629-2 0  9998,2 46300  97.4291  82.9369 0000591 117.7186 242.4114 15.29578616129617,2020-061AE,46300,6855.208,94.144,477.478,476.668,1,2023/1/13
