COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48894","SPACEBEE-107","PAYLOAD","U","21059R","2021-07-06 21:02:22","699104","15.12007318","0.0008929","97.5163","316.5686","208.7472","151.3268","0","999","167","0.000062939","0.00001017","0","3072229","0 SPACEBEE-107","1 48894U 21059R   21187.87665161  .00001017  00000-0  62939-4 0  9991","2 48894  97.5163 316.5686 0008929 208.7472 151.3268 15.12007318  1677","2021-059R","48894","6908.216","95.238","536.249","523.913","1"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48894","SPACEBEE-107","PAYLOAD","U","21059R","2021-07-06 21:02:22","699104","15.12007318","0.0008929","97.5163","316.5686","208.7472","151.3268","0","999","167","0.000062939","0.00001017","0","3072401","0 SPACEBEE-107","1 48894U 21059R   21187.87665161  .00001017  00000-0  62939-4 0  9991","2 48894  97.5163 316.5686 0008929 208.7472 151.3268 15.12007318  1677","2021-059R","48894","6908.216","95.238","536.249","523.913","1"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48894","SPACEBEE-107","PAYLOAD","U","21059R","2021-07-07 22:27:08","687808","15.12010349","0.0008973","97.5165","317.6105","204.7868","155.2933","0","999","183","0.00025728","0.00004358","0","3072550","0 SPACEBEE-107","1 48894U 21059R   21188.93551722  .00004358  00000-0  25728-3 0  9991","2 48894  97.5165 317.6105 0008973 204.7868 155.2933 15.12010349  1839","2021-059R","48894","6908.207","95.237","536.271","523.873","1"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48894","SPACEBEE-107","PAYLOAD","U","21059R","2021-07-07 22:27:08","687808","15.12010349","0.0008973","97.5165","317.6105","204.7868","155.2933","0","999","183","0.00025728","0.00004358","0","3072897","0 SPACEBEE-107","1 48894U 21059R   21188.93551722  .00004358  00000-0  25728-3 0  9991","2 48894  97.5165 317.6105 0008973 204.7868 155.2933 15.12010349  1839","2021-059R","48894","6908.207","95.237","536.271","523.873","1"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48894","SPACEBEE-107","PAYLOAD","U","21059R","2021-07-08 17:30:42","971328","15.12012498","0.0009107","97.5165","318.3917","201.453","158.632","0","999","195","0.000062103","0.00001003","0","3073134","0 SPACEBEE-107","1 48894U 21059R   21189.72966402  .00001003  00000-0  62103-4 0  9997","2 48894  97.5165 318.3917 0009107 201.4530 158.6320 15.12012498  1955","2021-059R","48894","6908.200","95.237","536.357","523.774","1"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48894","SPACEBEE-107","PAYLOAD","U","21059R","2021-07-09 14:09:35","218944","15.1201451","0.0009174","97.5168","319.2386","198.5872","161.5025","0","999","208","0.00006968","0.00001133","0","3073441","0 SPACEBEE-107","1 48894U 21059R   21190.58999096  .00001133  00000-0  69680-4 0  9999","2 48894  97.5168 319.2386 0009174 198.5872 161.5025 15.12014510  2084","2021-059R","48894","6908.194","95.237","536.397","523.722","1"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48894","SPACEBEE-107","PAYLOAD","U","21059R","2021-07-09 14:09:35","218944","15.1201451","0.0009174","97.5168","319.2386","198.5872","161.5025","0","999","208","0.00006968","0.00001133","0","3073627","0 SPACEBEE-107","1 48894U 21059R   21190.58999096  .00001133  00000-0  69680-4 0  9999","2 48894  97.5168 319.2386 0009174 198.5872 161.5025 15.12014510  2084","2021-059R","48894","6908.194","95.237","536.397","523.722","1"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48894","SPACEBEE-107","PAYLOAD","U","21059R","2021-07-10 18:44:56","512032","15.12017679","0.0009292","97.517","320.4108","194.1791","165.918","0","999","226","0.0000749","0.00001223","0","3074418","0 SPACEBEE-107","1 48894U 21059R   21191.78120963  .00001223  00000-0  74900-4 0  9992","2 48894  97.5170 320.4108 0009292 194.1791 165.9180 15.12017679  2265","2021-059R","48894","6908.185","95.237","536.469","523.630","1"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48894","SPACEBEE-107","PAYLOAD","U","21059R","2021-07-10 18:44:56","512032","15.12017679","0.0009292","97.517","320.4108","194.1791","165.918","0","999","226","0.0000749","0.00001223","0","3074552","0 SPACEBEE-107","1 48894U 21059R   21191.78120963  .00001223  00000-0  74900-4 0  9992","2 48894  97.5170 320.4108 0009292 194.1791 165.9180 15.12017679  2265","2021-059R","48894","6908.185","95.237","536.469","523.630","1"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","48894","SPACEBEE-107","PAYLOAD","U","21059R","2021-07-11 13:48:30","626208","15.12019377","0.0009371","97.5171","321.1922","191.377","168.7251","0","999","238","0.000072734","0.00001186","0","3074977","0 SPACEBEE-107","1 48894U 21059R   21192.57535447  .00001186  00000-0  72734-4 0  9998","2 48894  97.5171 321.1922 0009371 191.3770 168.7251 15.12019377  2382","2021-059R","48894","6908.179","95.237","536.518","523.571","1"
